code;description;description[el];description[en];lat;lon
11636;Panagia Pyrgiotissa Church 1;Εκκλησία Παναγία Πυργώτισσα 1;Panagia Pyrgiotissa Church 1;34,7416229691767;33,1836621951358
20582;Grigori Afxentiou Ave. - Olympou 2;Λεωφ. Γρηγόρη Αυξεντίου - Ολύμπου 2;Grigori Afxentiou Ave. - Olympou 2;34,8545092423978;33,4936810432804
30087;Priamou - Agapinoros;Πριάμου - Αγαπήνορος;Priamou - Agapinoros;34,7674336798098;32,4200610817206
21936;Athienou City Hall 1;Δημαρχείο Αθιένου 1;Athienou City Hall 1;35,0634568607955;33,5389354148312
30567;4th Stop Kelokedara;4η Στάση Κελοκέδαρα;4th Stop Kelokedara;34,8126742742626;32,6547098796762
466;Giannou Kranidioti Ave. - Eleftheriou Venizelou;Λεωφόρος Γιάννου Κρανιδιώτη - Ελευθερίου Βενιζέλου;Giannou Kranidioti Ave. - Eleftheriou Venizelou;35,1001831243166;33,3796445174537
10005;Ave. Omonoias - Optikou Nikolaidi;Λεωφ.Ομόνοιας - Οπτικού Νικολαΐδη;Ave. Omonoias - Optikou Nikolaidi;34,6615189433628;33,0182153884961
40320;Kavo Gkreko - 1st Stop;Κάβο Γκρέκο - 1η Στάση;Kavo Gkreko - 1st Stop;34,9862412921789;34,0173818513805
40912;Famagusta District Court 1;Επαρχ. Δικαστήριο Αμμοχώστου 1;Famagusta District Court 1;35,0514135157465;33,9937046653313
886;Makedonitissis - Old Strovolos Cemetery 2;Μακεδονιτίσσης - Παλαιό Κοιμητήριο Στροβόλου 2;Makedonitissis - Old Strovolos Cemetery 2;35,1465189553771;33,3316870682969
707;Ave. Georgiou Griva Digeni - Hilton Park 2;Λεωφ. Γεωργίου Γρίβα Διγενή - Χίλτον Παρκ 2;Ave. Georgiou Griva Digeni - Hilton Park 2;35,1642034480622;33,3276960213495
10888;Meletiou Metaxaki - Archangelou Michail 2;Μελετίου Μεταξάκη - Αρχαγγέλου Μιχαήλ 2;Meletiou Metaxaki - Archangelou Michail 2;34,6955945473886;33,0573435650597
11065;Agias Zonis - Apesia 1;Αγίας Ζώνης - Απεσιά 1;Agias Zonis - Apesia 1;34,7836096718763;32,9714180257692
21233;Kiti Police Station 1;Αστυνομικός Σταθμός Κιτίου 1;Kiti Police Station 1;34,8460382352448;33,5726581552762
21812;Grigori Afxentiou Ave. - Foinikoudes 1;Λεωφ. Γρηγόρη Αυξεντίου - Φονιικούδες 1;Grigori Afxentiou Ave. - Foinikoudes 1;34,9176764344531;33,6354467945138
21520;Akropoleos Ave. - Lordos Beach Hotel;Λεωφ. Ακροπόλεως - Ξενοδοχείο Lordos;Akropoleos Ave. - Lordos Beach Hotel;34,9779217109195;33,6898786635676
20161;Apostolos Andreas Church 2;Εκκλησία Αποστόλου Ανδρέα 2;Apostolos Andreas Church 2;34,8617310851485;33,2001095050896
22138;Eleftherias Avenue - Archiep. Makariou C´ Ave. 1;Λεωφόρος Ελευθερίας - Λεωφ. Αρχιεπ. Μακαρίου Γ´ 1;Eleftherias Avenue - Archiep. Makariou C´ Ave. 1;34,8670504600204;33,5985694627484
30305;Konia Elementary School 1;Δημοτικό Σχολείο Κονιών 1;Konia Elementary School 1;34,7854323958405;32,4550971458968
40122;Agias Theklas - 2nd Stop;Αγίας Θέκλας - 2η Στάση;Agias Theklas - 2nd Stop;34,9868988007468;33,9484194348787
40357;Tefkrou Anthia - Kataspilion 2;Τεύκρου Ανθία - Κατασπηλιών 2;Tefkrou Anthia - Kataspilion 2;34,9933483453494;33,9899123433909
6040;Apostolos Andreas Church;Εκκλησία Αποστόλου Ανδρέα;Apostolos Andreas Church;35,0417265117292;33,2367184497027
30252;Pegeia Police Station 1;Αστυνομικός Σταθμός Πέγειας 1;Pegeia Police Station 1;34,8802517510748;32,3797889212039
40019;Agios Georgios Church 1;Εκκλησία Αγίου Γεωργίου 1;Agios Georgios Church 1;35,0374876997809;33,8402920810549
10339;Vasileos Pavlou A´ - Pafou 1;Βασιλέως Παύλου Α´ - Πάφου 1;Vasileos Pavlou A´ - Pafou 1;34,6731071607218;33,0170390538917
22152;Kofinou Kindergarden;Νηπιαγωγείο Κοφίνου;Kofinou Kindergarden;34,8253793907331;33,3930872899501
21841;Zygi Elementary School;Δημοτικό Σχολείο Ζυγίου;Zygi Elementary School;34,728936246342;33,3354059718492
31112;Stratigou Alex. Papagou - Ampelokipon;Στρατηγού Αλεξ. Παπάγου - Αμπελοκήπων;Stratigou Alex. Papagou - Ampelokipon;34,7743244725779;32,4356954048159
30871;Agios Georgios Church 1;Εκκλησία Αγ. Γεωργίου 1;Agios Georgios Church 1;35,0290661786874;32,4183287633213
40094;Acheritou Community Board 1;Κοινοτικό Συμβούλιο Αχερίτου 1;Acheritou Community Board 1;35,0731464434631;33,881447655786
20264;Spyrou Kyprianou Ave. - Harbour Roundabout;Λεωφ. Σπύρου Κυπριανού - Κόμβος Λιμανιού;Spyrou Kyprianou Ave. - Harbour Roundabout;34,9304040548529;33,6346580365589
40047;1st Stop E.A.C. Dhekelia;1η Στάση Α.Η.Κ. Δεκέλεια;1st Stop E.A.C. Dhekelia;34,9836261851287;33,7424397088326
22207;Apostolos Andreas;Απόστολος Ανδρέας;Apostolos Andreas;34,9280793881689;33,5308770626229
3053;Ave. Agion Trimithias - Parthenonos 2;Λεωφ. Αγίων Τριμιθιάς - Παρθενώνος 2;Ave. Agion Trimithias - Parthenonos 2;35,1207326756702;33,2645155127955
25;Ave. Dimokratias - Thetidos;Λεωφ. Δημοκρατίας - Θέτιδος;Ave. Dimokratias - Thetidos;35,1749434487893;33,3241260120224
742;Agiou Ilarionos - Kolokotroni;Αγίου Ιλαρίωνος - Κολοκοτρώνη;Agiou Ilarionos - Kolokotroni;35,1787719399024;33,3952423784857
10306;Gladstonos - Leontiou Machaira;Γλάδστωνος - Λεοντίου Μαχαιρά;Gladstonos - Leontiou Machaira;34,6792604150831;33,0418311864922
21902;Ethn. Makarios C´ Elementary School 1;Δημοτικό Σχολείο Εθν. Μακαρίου Γ´ 1;Ethn. Makarios C´ Elementary School 1;34,936886304484;33,613837118182
31578;2nd Stop Chrysochou;2η Στάση Χρυσοχού;2nd Stop Chrysochou;35,0059128194857;32,4400496543755
21061;Afstralias Ave. - Chiou;Λεωφ. Αυστραλίας - Χίου;Afstralias Ave. - Chiou;34,9303649735847;33,6052043477343
30358;Agiou Georgiou Ave. - Georgiou Griva Digeni 1;Λεωφ. Αγίου Γεωργίου - Γεωργίου Γρίβα Διγενή 1;Agiou Georgiou Ave. - Georgiou Griva Digeni 1;34,805457011529;32,3970002130471
31907;2nd Stop Drouseia 1;2η Στάση Δρούσεια 1;2nd Stop Drouseia 1;34,9586676433596;32,3978625945249
709;Ave. Georgiou Griva Digeni - Grigori Afxentiou;Λεωφ. Γεωργίου Γρίβα Διγενή - Γρηγόρη Αυξεντίου;Ave. Georgiou Griva Digeni - Grigori Afxentiou;35,1631463342177;33,3350596846282
21452;Agiou Panteleimonos Ave. - Michail Karaoli;Λεωφ. Αγίου Παντελεήμονος - Μιχαήλ Καραολή;Agiou Panteleimonos Ave. - Michail Karaoli;34,8636269475397;33,5868275093647
40082;Achyronas Liopetriou 1;Αχυρώνας Λιοπετρίου 1;Achyronas Liopetriou 1;35,008534341854;33,8932586084875
14;Ave. Agiou Pavlou - Rizokarpasou;Λεωφ. Αγίου Παύλου - Ριζοκαρπάσου;Ave. Agiou Pavlou - Rizokarpasou;35,1770133451589;33,3387846782642
880;Apolloneio Hospital 1;Απολλώνειο Νοσοκομείο 1;Apolloneio Hospital 1;35,147759176593;33,3198134535275
446;Kalamon - Meteoron;Καλαμών - Μετεώρων;Kalamon - Meteoron;35,1268639058609;33,3683207493343
11652;Agios Epiktitos Church 2;Εκκλησία Αγίου Επίκτητου 2;Agios Epiktitos Church 2;34,7276593707563;33,2032264803374
20195;2nd Stop Ora;2η Στάση Οράς;2nd Stop Ora;34,8620140866482;33,1979987033053
31533;Agiou Georgiou Ave. - 15th Stop;Λεωφ. Αγίου Γεωργίου - 15η Στάση;Agiou Georgiou Ave. - 15th Stop;34,9025951514871;32,3236675547894
2575;Grigori Afxentiou - Praxitelous 1;Γρηγόρη Αυξεντίου - Πραξιτέλους;Grigori Afxentiou - Praxitelous 1;35,1483132038858;33,2057049705884
601;Ave. Aglantzias - Esperidon;Λεωφ. Αγλαντζιάς - Εσπερίδων;Ave. Aglantzias - Esperidon;35,1571135537119;33,383795617831
20118;6th Stop Tochni;6η Στάση Τόχνης;6th Stop Tochni;34,7813358330933;33,32301603223
40315;Protara - Kavo Gkreko Ave. - 21th Stop;Λεωφ. Πρωταρά - Κάβο Γκρέκο - 21η Στάση;Protara - Kavo Gkreko Ave. - 21th Stop;34,9754971180786;34,0549444955894
1358;Ave. Agiou Pavlou - Agiou Pavlou;Λεωφ. Αγίου Παύλου - Αγίου Παύλου;Ave. Agiou Pavlou - Agiou Pavlou;35,1782726630302;33,3301027340581
293;Ave. Tseriou - Ippokratous;Λεωφ. Τσερίου - Ιπποκράτους;Ave. Tseriou - Ippokratous;35,1095207452026;33,3319211542844
21956;EAC Dekeleia Roundabout 1;Κυκλικός Κόμβος ΑΗΚ Δεκέλειας 1;EAC Dekeleia Roundabout 1;34,9837549724442;33,7390663544524
31501;7th Stop Pomos;7η Στάση Πωμός;7th Stop Pomos;35,1709336911943;32,5498112374555
875;Themistokleous - Mouson;Θεμιστοκλέους - Μουσών;Themistokleous - Mouson;35,1450689306244;33,337587377269
1265;Korytsas - Makarios Hospital 2;Κορυτσάς - Μακάριο Νοσοκομείο 2;Korytsas - Makarios Hospital 2;35,1510908251726;33,3570118860548
2016;Apostolos Varnavas Church 2;Εκκλησία Αποστόλου Βαρνάβα 2;Apostolos Varnavas Church 2;34,9603638260518;33,3323372588927
30009;Archiep. Makariou C` Ave. - Ellados;Λεωφ. Αρχιεπ. Μακαρίου Γ` - Ελλάδος;Archiep. Makariou C` Ave. - Ellados;34,7641888377087;32,4475330556782
40522;1 Apriliou Ave. - Stadiou;Λεωφ. 1 Απριλίου - Σταδίου;1 Apriliou Ave. - Stadiou;35,0324169745716;33,9801442891485
2463;Ave. Archiepiskopou Makariou C - Metochiou;Λεωφ. Αρχιεπισκόπου Μακαρίου Γ - Μετοχίου;Ave. Archiepiskopou Makariou C - Metochiou;35,0815355892436;33,2681953636595
4028;Archiep. Makariou C´ Ave. - 1st Ergates 1;Λεωφ. Αρχιεπ. Μακαρίου Γ´ - 2η Εργατών 1;Archiep. Makariou C´ Ave. - 1st Ergates 1;35,062110774465;33,2477223068774
21256;Psarolimano 2;Ψαρολίμανο 2;Psarolimano 2;34,8994929186797;33,6380210951261
30384;Venus Beach Hotel 2;Ξενοδοχείο Venus 2;Venus Beach Hotel 2;34,781099374451;32,4059320135991
11901;Tsirio Stadium 2;Τσίρειο Στάδιο 2;Tsirio Stadium 2;34,6992401846558;33,0224274284057
31803;3rd Stop Panagia;3η Στάση Παναγιά;3rd Stop Panagia;34,9216042894756;32,6294127808546
40111;Nisi Ave. - Isaak kai Solomou;Λεωφ. Νησί - Ισαάκ και Σολωμού;Nisi Ave. - Isaak kai Solomou;34,9887921376311;33,9835793257224
30734;Kouklia Archaeological Site 2;Αρχαιολογικός Χώρος Κουκλιών 2;Kouklia Archaeological Site 2;34,7053858184458;32,5735866707506
2390;Lefkosias Avenue - Avlonos;Λεωφόρος Λευκωσίας - Αυλώνος;Lefkosias Avenue - Avlonos;35,1329774856172;33,0819943910701
1033;Ave. Tzon Kennenty - Perikleous;Λεωφ. Τζων Κέννεντυ - Περικλέους;Ave. Tzon Kennenty - Perikleous;35,1721507589833;33,3762449879763
10007;Fragklinou Rousvelt - Galilaiou;Φραγκλίνου Ρούσβελτ - Γαλιλαίου;Fragklinou Rousvelt - Galilaiou;34,6659910008168;33,0231715682533
21420;Odysseos - Agias Lavras;Οδυσσέως - Αγίας Λαύρας;Odysseos - Agias Lavras;34,9161598862291;33,6218166382117
21149;Oroklini Park 2;Πάρκο Ορόκλινης 2;Oroklini Park 2;34,9767855658795;33,6573646111417
30379;Agiou Georgiou Ave. - Ellados;Λεωφ. Αγίου Γεωργίου - Ελλάδος;Agiou Georgiou Ave. - Ellados;34,8010952215192;32,3993714481375
5073;Kitiou - Protomagias;Kitiou - Protomagias;Kitiou - Protomagias;35,1211925878715;33,1927961484349
20337;Konstantinoupoleos - Agiou Kyriakou 1;Κωνσταντινουπόλεως - Αγίου Κυριάκου 1;Konstantinoupoleos - Agiou Kyriakou 1;34,7320650829425;33,3355278432688
157;Ave. Anthoupoleos - Eptanisou;Λεωφ. Ανθουπόλεως - Επτανήσου;Ave. Anthoupoleos - Eptanisou;35,124205350685;33,2953013994849
11600;4th Agios Mamas 2;4η Αγίου Μάμαντος 2;4th Agios Mamas 2;34,8478895257146;32,9487531219304
358;Ave. Dimitriou Vikela - Nikola Savva Barri;Λεωφ. Δημητρίου Βικέλα - Νικόλα Σάββα Μπαρρή;Ave. Dimitriou Vikela - Nikola Savva Barri;35,1199914551018;33,3567115304596
11347;Kalo Chorio Police Station;Αστυνομικός Σταθμός Καλού Χωριού;Kalo Chorio Police Station;34,8500895513304;33,0224026475192
30077;Poseidonos Ave. - 6th Stop;Λεωφ. Ποσειδωνος - 6η Στάση;Poseidonos Ave. - 6th Stop;34,7466083223661;32,426914587123
40384;Kyriakou Matsi - Tzon Kennenty;Κυριάκου Μάτση - Τζων Κένvεντυ;Kyriakou Matsi - Tzon Kennenty;35,024366810477;33,9538723220818
30546;4th Stop Mamonia;4η Στάση Μαμώνια;4th Stop Mamonia;34,7707115969705;32,6380334096456
10624;Genniseos Avenue - Michalaki Neokleous;Λεωφόρος Γεννήσεως - Μιχαλάκη Νεοκλέους;Genniseos Avenue - Michalaki Neokleous;34,6377864314697;32,9569021681759
